tweet_id,user_id,username,tweet_text,created_at,location,lang,source,reply_count,retweet_count,like_count,quote_count,hashtags,urls,mentions,referenced_tweet_type,reference_reply_count,reference_retweet_count,reference_like_count,reference_quote_count,user_profile_url,tweet_url,reference_user_profile_url,reference_tweet_url
1590507046642028544,77354708,michaelgrange,Maybe Scottie learned that lefty take at his buddy Jalen Green's basketball camp this summer! (Barnes was a guest counelor).,2022-11-09 19:50:04-05:00,N/A,English (en),Twitter Web App,1,0,13,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/michaelgrange,https://twitter.com/michaelgrange/status/1590507046642028544,N/A,N/A
1590506922813583360,1412207184939782145,DavelEstefano,Scottie Barnes é um trator,2022-11-09 19:49:35-05:00,N/A,Portuguese (pt),Twitter Web App,0,0,0,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/DavelEstefano,https://twitter.com/DavelEstefano/status/1590506922813583360,N/A,N/A
1590506619464732674,1118187766385401856,byoungcards,"2021-22 Prizm Scottie Barnes Red White &amp; Blue Prizm Rookie Card #thehobby #whodoyoucollect #collect 
#basketballcards #sportscards #tradingcards #sportscardsforsale #WeTheNorth #Raptors https://t.co/YgtI0cjRzt #eBay via @eBay",2022-11-09 19:48:22-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,"#thehobby
#whodoyoucollect
#collect
#basketballcards
#sportscards
#tradingcards
#sportscardsforsale
#WeTheNorth
#Raptors
#eBay",https://www.ebay.com/itm/125596465656?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=7udi1z3nqow&sssrc=2051273&ssuid=7udi1z3nqow&var=&widget_ver=artemis&media=TW,@eBay (user_id: 19709040),original,N/A,N/A,N/A,N/A,https://twitter.com/byoungcards,https://twitter.com/byoungcards/status/1590506619464732674,N/A,N/A
1590506430402301952,1118187766385401856,byoungcards,"2021-22 Chronicles Playbook Scottie Barnes Pink Parallel Rookie Card #thehobby #whodoyoucollect #collect 
#basketballcards #sportscards #tradingcards #sportscardsforsale #WeTheNorth #Raptors https://t.co/4DRgYPyIKH #eBay via @eBay",2022-11-09 19:47:37-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,"#thehobby
#whodoyoucollect
#collect
#basketballcards
#sportscards
#tradingcards
#sportscardsforsale
#WeTheNorth
#Raptors
#eBay",https://www.ebay.com/itm/125585162238?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=7udi1z3nqow&sssrc=2051273&ssuid=7udi1z3nqow&var=&widget_ver=artemis&media=TW,@eBay (user_id: 19709040),original,N/A,N/A,N/A,N/A,https://twitter.com/byoungcards,https://twitter.com/byoungcards/status/1590506430402301952,N/A,N/A
1590506217268744192,1118187766385401856,byoungcards,"2021-22 Chronicles Marquee Scottie Barnes Rookie Card #thehobby #whodoyoucollect #collect 
#basketballcards #sportscards #tradingcards #sportscardsforsale #WeTheNorth #Raptors https://t.co/DhFEMj6uxu #eBay via @eBay",2022-11-09 19:46:47-05:00,N/A,English (en),Twitter for iPhone,0,0,0,0,"#thehobby
#whodoyoucollect
#collect
#basketballcards
#sportscards
#tradingcards
#sportscardsforsale
#WeTheNorth
#Raptors
#eBay",https://www.ebay.com/itm/125597640375?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=7udi1z3nqow&sssrc=2051273&ssuid=7udi1z3nqow&var=&widget_ver=artemis&media=TW,@eBay (user_id: 19709040),original,N/A,N/A,N/A,N/A,https://twitter.com/byoungcards,https://twitter.com/byoungcards/status/1590506217268744192,N/A,N/A
1590505835654189056,1459435422820417536,JGXJayGup,"RT @DomRockets: Brotherhood Superteam
Ja Morant
Jalen Green
Scottie Barnes
Paolo Banchero
Alperen Sengun",2022-11-09 19:45:16-05:00,N/A,Dutch (nl),Twitter Web App,0,1,0,0,N/A,N/A,@DomRockets (user_id: 1376376224734384130),retweeted,1,1,4,0,https://twitter.com/JGXJayGup,https://twitter.com/JGXJayGup/status/1590505835654189056,https://twitter.com/DomRockets,https://twitter.com/DomRockets/status/1590504643943362560
1590505801604796417,249470477,GarionThorne,Christian Koloko owes Scottie Barnes like 20 assists.,2022-11-09 19:45:07-05:00,N/A,English (en),Twitter Web App,0,0,0,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/GarionThorne,https://twitter.com/GarionThorne/status/1590505801604796417,N/A,N/A
1590505623523053569,1465427342310969345,FirstBasketMan,"Scottie Barnes gets a look from almost point blank, can’t get it to drop

Jaylen Brown takes an open 3, can’t get it to drop 

Those both hurt",2022-11-09 19:44:25-05:00,N/A,English (en),Twitter for iPhone,6,0,20,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/FirstBasketMan,https://twitter.com/FirstBasketMan/status/1590505623523053569,N/A,N/A
1590505208051744768,168891324,WalderSports,"Strong take to start the game for Scottie Barnes. That's what you want to see. He's gotten too comfortable with jumpers and 3-pointers ... which I appreciate, because you want that to develop some rhythm.

But he's a big dude. Get to the rim.",2022-11-09 19:42:46-05:00,N/A,English (en),Twitter Web App,0,0,14,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/WalderSports,https://twitter.com/WalderSports/status/1590505208051744768,N/A,N/A
1590505092385427456,979543357629353984,GustaPavin,to pronto pra assistir scottie barnes socar com força no bumbum do rockets,2022-11-09 19:42:18-05:00,N/A,Portuguese (pt),Twitter for Android,0,0,0,0,N/A,N/A,N/A,original,N/A,N/A,N/A,N/A,https://twitter.com/GustaPavin,https://twitter.com/GustaPavin/status/1590505092385427456,N/A,N/A
